Location,Locality,Coordinates,OS grid
Blackawton,Devon,50.33°N 03.68°W,SX8050
Black Bank,Cambridgeshire,52.44°N 00.24°E,TL5385
Black Bank,Warwickshire,52.47°N 01.48°W,SP3586
Black Banks,Darlington,54.50°N 01.55°W,NZ2912
Black Barn,Lincolnshire,52.83°N 00.12°E,TF4328
Blackbeck,Cumbria,54.44°N 03.51°W,NY0206
Blackborough,Devon,50.87°N 03.29°W,ST0909
Blackborough,Norfolk,52.69°N 00.47°E,TF6714
Blackborough End,Norfolk,52.69°N 00.45°E,TF6614
Black Bourton,Oxfordshire,51.73°N 01.59°W,SP2804
Blackboys,East Sussex,50.95°N 00.16°E,TQ5220
Blackbrook (near Chapel-en-le-Frith),Derbyshire,53.31°N 01.89°W,SK0780
Blackbrook (near Belper),Derbyshire,53.01°N 01.50°W,SK3347
Blackbrook,Staffordshire,52.94°N 02.35°W,SJ7639
Blackbrook,St Helens,53.45°N 02.69°W,SJ5496
Blackbrook,Surrey,51.20°N 00.31°W,TQ1846
Blackburn,Aberdeenshire,57.19°N 02.29°W,NJ8212
Blackburn,Lancashire,53.73°N 02.48°W,SD6827
Blackburn,Moray,57.60°N 03.18°W,NJ2958
Blackburn,Sheffield,53.42°N 01.42°W,SK3892
Blackburn,West Lothian,55.86°N 03.63°W,NS9865
Black Callerton,Newcastle upon Tyne,55.01°N 01.73°W,NZ1769
Black Carr,Norfolk,52.51°N 01.07°E,TM0995
Blackcastle,Midlothian,55.82°N 02.94°W,NT4159
Black Corner,West Sussex,51.13°N 00.15°W,TQ2939
Black Crofts,Argyll and Bute,56.45°N 05.37°W,NM9234
Black Cross,Cornwall,50.40°N 04.95°W,SW9060
Black Dam,Hampshire,51.25°N 01.08°W,SU6451
Blackden Heath,Cheshire,53.23°N 02.33°W,SJ7871
Blackditch,Oxfordshire,51.74°N 01.40°W,SP4105
Black Dog,Devon,50.86°N 03.70°W,SS8009
Blackdog,City of Aberdeen,57.21°N 02.08°W,NJ9514
Blackdown,Hampshire,50.99°N 01.24°W,SU5322
Blackdown,Dorset,50.82°N 02.86°W,ST3903
Blackdown,Warwickshire,52.30°N 01.54°W,SP3168
Blackdyke,Cumbria,54.85°N 03.34°W,NY1452
Blackdykes,East Lothian,56.03°N 02.67°W,NT5883
Blacker,Barnsley,53.57°N 01.50°W,SE3309
Blacker Hill,Barnsley,53.51°N 01.45°W,SE3602
Blacketts,Kent,51.35°N 00.78°E,TQ9465
Blackfell,Sunderland,54.89°N 01.54°W,NZ2956
Blackfen,Greenwich,51.44°N 00.08°E,TQ4574
Blackfield,Hampshire,50.80°N 01.37°W,SU4401
Blackfold,Highland,57.42°N 04.36°W,NH5840
Blackford (Selworthy),Somerset,51.19°N 03.54°W,SS9245
Blackford (Wedmore),Somerset,51.21°N 02.84°W,ST4147
Blackford (South Somerset),Somerset,51.03°N 02.50°W,ST6526
Blackford,Shropshire,52.43°N 02.60°W,SO5982
Blackford,Dumfries and Galloway,55.10°N 03.36°W,NY1380
Blackford,Cumbria,54.94°N 02.95°W,NY3962
Blackford,Perth and Kinross,56.25°N 03.79°W,NN8908
Blackford Bridge,Bury,53.55°N 02.30°W,SD8007
Blackfordby,Leicestershire,52.75°N 01.52°W,SK3217
Blackfords,Staffordshire,52.69°N 02.03°W,SJ9811
Blackgang,Isle of Wight,50.58°N 01.32°W,SZ4876
Blackhall,City of Edinburgh,55.95°N 03.26°W,NT2174
Blackhall,Renfrewshire,55.83°N 04.41°W,NS4963
Blackhall Colliery,Durham,54.74°N 01.30°W,NZ4539
Blackhall Mill,Durham,54.89°N 01.82°W,NZ1156
Blackhall Rocks,Durham,54.73°N 01.28°W,NZ4638
Blackham,East Sussex,51.13°N 00.14°E,TQ5039
Blackheath,Sandwell,52.47°N 02.04°W,SO9786
Blackheath,Essex,51.85°N 00.90°E,TM0021
Blackheath,Lewisham,51.46°N 00.00°E,TQ3976
Blackheath Park,Greenwich,51.45°N 00.01°E,TQ4075
Black Heddon,Northumberland,55.07°N 01.89°W,NZ0776
Blackhill,Hampshire,50.96°N 01.57°W,SU3018
Blackhill,Aberdeenshire,57.58°N 01.88°W,NK0755
Blackhill,Highland,57.46°N 06.43°W,NG3450
Blackhill,Durham,54.85°N 01.86°W,NZ0951
Black Hill,Bradford,53.86°N 01.94°W,SE0441
Blackhillock,Moray,57.51°N 02.95°W,NJ4348
Blackhills,Swansea,51.60°N 04.05°W,SS5891
Blackhorse,Devon,50.72°N 03.46°W,SX9793
Blackhorse,South Gloucestershire,51.49°N 02.49°W,ST6677
Black Horse Drove,Cambridgeshire,52.49°N 00.34°E,TL5991
Blackhouse,Aberdeenshire,57.50°N 01.80°W,NK1246
Blackird Leys,Oxfordshire,51.72°N 01.20°W,SP5503
Blackjack,Lincolnshire,52.93°N 00.12°W,TF2639
Black Lake,Sandwell,52.52°N 02.01°W,SO9992
Blackland,Wiltshire,51.41°N 01.98°W,SU0168
Blacklands,East Sussex,50.86°N 00.57°E,TQ8110
