Location,Locality,Coordinates,OS grid
Whiteacre,Kent,51.18°N 01.01°E,TR1147
Whiteadder Water,Scottish Borders,55.83°N 02.34°W,NT782597
Whiteadder Water,East Lothian,55.85°N 02.54°W,NT660630
Whiteash Green,Essex,51.93°N 00.60°E,TL7930
White Ball,Somerset,50.96°N 03.29°W,ST0919
Whitebirk,Lancashire,53.74°N 02.45°W,SD7028
Whitebridge,Highland,57.20°N 04.51°W,NH4815
Whitebrook,Monmouthshire,51.75°N 02.68°W,SO5306
Whitebushes,Surrey,51.20°N 00.16°W,TQ2847
Whitecairns,Aberdeenshire,57.24°N 02.13°W,NJ9217
Whitechapel,County of the City of London,51.51°N 00.08°W,TQ3381
Whitechapel,Lancashire,53.86°N 02.68°W,SD5541
Whitechurch Maund,Herefordshire,52.13°N 02.64°W,SO5649
Whitecliff,Gloucestershire,51.78°N 02.63°W,SO5610
Whiteclosegate,Cumbria,54.90°N 02.92°W,NY4157
White Colne,Essex,51.92°N 00.71°E,TL8729
White Coppice,Lancashire,53.65°N 02.59°W,SD6118
Whitecote,Leeds,53.82°N 01.63°W,SE2436
Whitecraig,East Lothian,55.91°N 03.04°W,NT3570
Whitecraigs,East Renfrewshire,55.78°N 04.31°W,NS5557
Whitecroft,Gloucestershire,51.75°N 02.56°W,SO6106
Whitecrook,Renfrewshire,55.89°N 04.40°W,NS5069
Whitecross,Cornwall,50.15°N 05.47°W,SW5234
White Cross,Cornwall,50.04°N 05.24°W,SW6821
White Cross,Cornwall,50.39°N 04.97°W,SW8959
Whitecross,Cornwall,50.51°N 04.87°W,SW9672
Whitecross,Cornwall,50.33°N 04.62°W,SX1352
Whitecross,Dorset,50.78°N 02.76°W,SY4699
White Cross,Herefordshire,52.05°N 02.74°W,SO4940
White Cross,Somerset,51.23°N 02.94°W,ST3449
Whitecross,Somerset,51.01°N 02.85°W,ST4024
White Cross,Bath and North East Somerset,51.31°N 02.58°W,ST5958
White Cross,Bath and North East Somerset,51.30°N 02.54°W,ST6256
Whitecross,Staffordshire,52.79°N 02.20°W,SJ8622
White Cross,Wiltshire,51.08°N 02.32°W,ST7732
Whitecross,Falkirk,55.96°N 03.66°W,NS9676
White Cross Hill,Cambridgeshire,52.35°N 00.18°E,TL4975
White End,Worcestershire,52.00°N 02.32°W,SO7834
White Esk,Dumfries and Galloway,55.28°N 03.19°W,NT243000
Whitefarland,North Ayrshire,55.62°N 05.40°W,NR8642
Whitefaulds,South Ayrshire,55.34°N 04.69°W,NS2909
Whitefield,Somerset,51.05°N 03.32°W,ST0729
Whitefield,Dorset,50.74°N 02.14°W,SY9094
